id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city,zipcode
826354623849371469,Modern Lux 2BD Work/Play Oasis,73444161,Oasis Properties,,Richmond,45.50150409641163,-122.6342057512463,Entire home/apt,118,1,4,2023-03-18,4.0,19,338,4,Portland,97202.0
1012003,Capitol Hill Gem in Great Location,5567436,Larry & Suzi,Capitol Hill,Broadway,47.63948,-122.32236,Private room,145,30,36,2019-10-20,0.3,1,365,0,Seattle,98102.0
4711069,Craftsman with view of Seattle,10283735,Mayza,Rainier Valley,Rainier Beach,47.50889,-122.2594,Entire home/apt,171,2,196,2023-01-09,1.95,2,203,23,Seattle,98178.0
7264708,Seattle sanctuary with city view!,38034415,Kristen,Magnolia,Southeast Magnolia,47.63778,-122.38943,Entire home/apt,99,30,178,2020-01-04,2.09,1,162,0,Seattle,98199.0
13332139,Walk to the Pike/Pine Corridor from This Serene Apartment,658155,Joe,Central Area,Minor,47.61091,-122.31323,Entire home/apt,210,30,197,2022-08-24,2.39,5,171,1,Seattle,98122.0
17814988,Belltown Pike Place Water View 2bdrm Free Parking,4874276,Sarah,Downtown,Belltown,47.61376,-122.34645,Entire home/apt,192,3,277,2023-03-07,3.82,9,129,52,Seattle,98121.0
19963333,Ballard Locks Home 5 bedroom 2 blocks from water!,35246779,Didi,Ballard,Adams,47.66997,-122.39379,Entire home/apt,95,30,118,2021-01-02,1.75,1,100,0,Seattle,98107.0
23484388,Cozy Ballard home with hot tub,5042380,John,Ballard,Whittier Heights,47.6805,-122.36611,Entire home/apt,180,30,2,2022-03-14,0.04,1,0,0,Seattle,98117.0
27334813,Entire House - Bright and Sunny Lake View Cottage!,197363501,Melanie,Seward Park,Seward Park,47.56313,-122.26981,Entire home/apt,179,2,188,2023-03-16,3.38,1,262,51,Seattle,98118.0
33429082,Lofty Studio Prime Cap Hill Area Mins to Downtown,251831101,Vince,Capitol Hill,Broadway,47.62715,-122.322,Entire home/apt,154,99,195,2021-12-05,4.04,3,364,0,Seattle,98102.0
36696017,Cozy Seattle Retreat,85888065,Kath & Dave,Ballard,West Woodland,47.663506,-122.361168,Entire home/apt,130,4,28,2023-01-03,0.65,1,246,6,Seattle,98107.0
